product_name,total_quantity_sold,current_stock,stock_remaining,lead_time
Trek Powerfly 5 Women's - 2018,5,5,0,0
Trek Superfly 20 - 2018,1,1,0,0
Trek Superfly 24 - 2017/2018,1,1,0,0
Electra Cruiser Lux 1 - 2016/2018,6,7,1,0
Electra Soft Serve 1 (16-inch) - Girl's - 2018,1,2,1,0
Electra Straight 8 1 (16-inch) - Boy's - 2018,1,2,1,0
Electra Straight 8 1 (20-inch) - Boy's - 2018,1,2,1,0
Electra Townie Balloon 7i EQ - 2018,3,4,1,0
Electra Townie Balloon 7i EQ Ladies' - 2017/2018,6,7,1,0
Electra Townie Commute 27D Ladies - 2018,7,8,1,0
Electra Townie Commute 8D Ladies' - 2018,9,10,1,0
Electra Townie Original 21D EQ Ladies' - 2018,6,7,1,0
Electra Townie Original 7D EQ - 2018,2,3,1,0
Electra White Water 3i - 2018,5,6,1,0
Surly Straggler 650b - 2018,2,3,1,0
Trek CrossRip 2 - 2018,1,2,1,0
Trek Domane ALR 4 Disc - 2018,3,4,1,0
Trek Domane ALR 5 Gravel - 2018,7,8,1,0
Trek Domane SLR 6 - 2018,2,3,1,0
Trek Precaliber 16 Girls - 2017,25,26,1,0
Trek Procaliber 6 - 2018,3,4,1,0
Trek Super Commuter+ 8S - 2018,8,9,1,0
Electra Cruiser Lux 3i Ladies' - 2018,4,6,2,0
Electra Cruiser Lux Fat Tire 1 Ladies - 2017,27,29,2,0
Electra Cruiser Lux Fat Tire 7D - 2018,3,5,2,0
"Electra Starship 1 16"" - 2018",5,7,2,0
Electra Tiger Shark 3i (20-inch) - Boys' - 2018,1,3,2,0
Electra Tiger Shark 3i - 2018,5,7,2,0
Electra Townie Balloon 3i EQ - 2017/2018,5,7,2,0
Electra Townie Balloon 8D EQ - 2016/2017/2018,4,6,2,0
Electra Townie Go! 8i - 2017/2018,1,3,2,0
Electra Townie Original 21D Ladies' - 2018,3,5,2,0
Haro SR 1.1 - 2017,22,24,2,0
Strider Sport 16 - 2018,5,7,2,0
Surly Krampus - 2018,9,11,2,0
Surly Pack Rat Frameset - 2018,10,12,2,0
Surly Straggler 650b - 2018,2,4,2,0
Trek 1120 - 2018,4,6,2,0
Trek Precaliber 24 21-speed Boy's - 2018,2,4,2,0
Electra Cruiser Lux 7D Ladies' - 2018,2,5,3,0
Electra Heartchya 1 (20-inch) - Girl's - 2018,7,10,3,0
Electra Super Moto 8i - 2018,8,11,3,0
"Electra Superbolt 1 20"" - 2018",2,5,3,0
Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018,6,9,3,0
Electra Townie Commute Go! Ladies' - 2018,2,5,3,0
Sun Bicycles Brickell Tandem CB - 2017,19,22,3,0
Surly ECR 27.5 - 2018,8,11,3,0
Surly Pack Rat - 2018,8,11,3,0
Surly Troll Frameset - 2018,5,8,3,0
Trek Domane SL 5 - 2018,5,8,3,0
Trek Domane SL 6 - 2018,8,11,3,0
Trek Domane SLR 9 Disc - 2018,5,8,3,0
Trek Girl's Kickster - 2017,24,27,3,0
Trek Precaliber 20 Boy's - 2018,4,7,3,0
Trek Precaliber 24 (7-Speed) - Boys - 2018,4,7,3,0
Trek Procal AL Frameset - 2018,3,6,3,0
Trek Stache 5 - 2017,25,28,3,0
Trek Verve+ Lowstep - 2018,5,8,3,0
Electra Cruiser 7D Tall - 2016/2018,3,7,4,0
Electra Cruiser Lux 3i Ladies' - 2018,4,8,4,0
Electra Morningstar 3i Ladies' - 2018,3,7,4,0
Electra Townie Commute Go! - 2018,6,10,4,0
Electra Townie Original 3i EQ Ladies' - 2018,3,7,4,0
Electra Townie Original 7D EQ Ladies' - 2017/2018,7,11,4,0
Haro SR 1.1 - 2017,22,26,4,0
Trek Domane ALR 4 Disc - 2018,3,7,4,0
Trek Domane ALR 5 Disc - 2018,7,11,4,0
Trek Domane SLR 6 - 2018,2,6,4,0
Trek Emonda S 5 - 2017,23,27,4,0
Trek Emonda SL 7 - 2018,3,7,4,0
