order_date,total_revenue
2016-04-08,20470.108
2016-04-09,5004.5978
2016-04-10,10997.460000000001
2016-04-11,4345.4367
2016-04-12,1240.1840000000002
2016-04-13,3292.4270000000006
2016-04-15,5224.5464
2016-04-16,5398.4335
2016-04-17,3930.1286999999998
2016-04-18,6850.368399999999
2016-04-19,8302.979000000001
2016-04-20,2249.9815
2016-04-21,3032.982
2016-04-22,8694.9219
2016-04-23,3506.4505
2016-04-27,13908.7813
2016-04-28,15516.3001
2016-04-30,6034.965399999999
2016-05-01,15602.767299999998
2016-05-03,7930.015199999999
2016-05-04,4104.3269
2016-05-05,12461.5479
2016-05-06,10620.0449
2016-05-07,3761.6170999999995
2016-05-08,5843.0484
2016-05-10,1650.5430000000001
2016-05-11,5217.233
2016-05-12,7194.2834
2016-05-13,5870.7234
2016-05-15,10216.235999999999
2016-05-17,17837.1366
2016-05-19,13637.948800000002
2016-05-20,7967.4144
2016-05-21,2748.7464
2016-05-22,8069.656500000001
2016-05-24,8550.052699999998
2016-05-25,10895.402600000001
2016-05-26,6089.9304
2016-05-27,27317.2425
2016-05-28,1060.553
2016-05-29,4563.091
2016-05-30,6060.4477
2016-06-01,19656.791699999998
2016-06-02,3126.6414
2016-06-03,6391.511100000001
2016-06-04,1769.3815
2016-06-05,7045.1564
2016-06-06,14786.2072
2016-06-08,8552.6437
2016-06-09,5014.9637
2016-06-10,11606.5003
2016-06-11,16415.394399999997
2016-06-12,4440.0176
2016-06-13,11462.5954
2016-06-15,2958.3021
2016-06-16,242.991
2016-06-17,18150.3664
2016-06-18,7587.5154
2016-06-19,2197.9500000000003
2016-06-20,4692.8641
2016-06-21,10474.1076
2016-06-22,11013.9345
2016-06-23,5169.9505
2016-06-25,23604.4969
2016-06-27,1034.2827
2016-06-28,4095.0137999999997
2016-06-29,7843.453099999999
2016-06-30,1229.0919999999999
2016-07-01,9477.338399999999
2016-07-04,16610.6591
2016-07-05,16235.929
2016-07-06,3604.5895
2016-07-07,17140.03
2016-07-09,2497.2717000000002
2016-07-11,6006.864
2016-07-12,14408.2234
2016-07-13,2687.1434
2016-07-14,5578.1307
2016-07-15,11950.476599999998
2016-07-16,4044.7830000000004
2016-07-17,10153.8285
2016-07-18,3018.2852
2016-07-19,9420.1731
2016-07-20,8840.1547
2016-07-21,4029.0626
2016-07-23,845.9820000000001
2016-07-24,7839.386399999999
2016-07-25,12789.1322
2016-07-26,6231.5235
2016-07-28,9784.3463
2016-07-29,6416.5944
2016-07-31,9946.9012
2016-08-01,5229.4681
2016-08-02,3774.6530999999995
2016-08-03,15268.5652
2016-08-04,3581.4619999999995
2016-08-05,10267.107
2016-08-07,20898.6933
2016-08-08,3403.8540000000003
2016-08-09,697.4907
2016-08-11,1694.0557000000001
2016-08-12,949.981
2016-08-13,4922.9471
2016-08-14,8727.2965
2016-08-15,9707.087
2016-08-16,8391.1675
2016-08-17,18527.040699999998
2016-08-18,3269.9827
2016-08-19,4266.0529
2016-08-20,24429.747900000002
2016-08-21,3430.9631
2016-08-22,18856.267
2016-08-23,7196.5190999999995
2016-08-25,751.984
2016-08-26,1453.4569999999999
2016-08-27,2501.764
2016-08-28,3799.9904999999994
2016-08-29,14015.4429
2016-08-30,5391.0846
2016-08-31,20253.252099999998
2016-09-01,13954.8238
2016-09-02,12995.016099999999
2016-09-03,9576.902100000003
2016-09-04,5932.6343
2016-09-05,10151.4871
2016-09-06,6061.1354
2016-09-08,4005.2848999999997
2016-09-09,5422.5208
2016-09-10,10186.7367
2016-09-11,10695.1891
2016-09-12,14555.555
2016-09-13,7176.214899999999
2016-09-14,3533.031
2016-09-16,13904.447699999999
2016-09-17,14703.283799999997
2016-09-18,5551.3636
2016-09-19,10725.192200000001
2016-09-20,8083.9627
2016-09-21,14069.371099999998
2016-09-22,14551.8705
2016-09-23,6359.8656
2016-09-24,9278.653900000001
2016-09-25,10067.4964
2016-09-26,7601.154699999999
2016-09-27,1492.1634000000001
2016-09-28,20361.162999999997
2016-09-29,16282.1287
2016-09-30,5812.961200000001
2016-10-01,13764.5958
2016-10-02,2396.7224
2016-10-03,6335.663699999999
2016-10-04,10764.4098
2016-10-05,458.98300000000006
2016-10-06,19924.9861
2016-10-07,1525.1539
2016-10-08,6319.946
2016-10-09,3675.5355
2016-10-10,7105.9826
2016-10-11,7938.684799999999
2016-10-12,256.4905
2016-10-13,1973.7314
2016-10-14,7064.9367
2016-10-15,11319.106600000001
2016-10-16,5989.965
2016-10-17,386.1
2016-10-18,755.972
2016-10-19,10527.2512
2016-10-21,6679.9538999999995
2016-10-22,14459.9246
2016-10-23,9845.990300000001
2016-10-24,4503.7459
2016-10-25,7105.7751
2016-10-26,12017.617
2016-10-27,8359.215999999999
2016-10-28,8130.884800000001
2016-10-29,16662.9777
2016-10-31,5827.7782
2016-11-02,7387.1379
2016-11-03,2042.0634
2016-11-04,5431.347
2016-11-06,3064.254
2016-11-08,2793.0481
2016-11-09,10052.994999999999
2016-11-11,4746.6324
2016-11-12,17943.4818
2016-11-13,18092.3953
2016-11-14,6794.082
2016-11-15,10372.093399999998
2016-11-16,8816.954399999999
2016-11-18,1649.9724999999999
2016-11-19,4986.3834
2016-11-20,4502.498
2016-11-21,4495.2725
2016-11-22,13103.4531
2016-11-23,9376.8805
2016-11-24,10180.53
2016-11-26,5779.8175
2016-11-27,22894.080100000003
2016-11-30,7824.0401
2016-12-03,3347.9813999999997
2016-12-04,15892.185500000003
2016-12-06,19109.9192
2016-12-07,3317.9447
2016-12-08,14047.9761
2016-12-09,27804.7106
2016-12-10,10825.451
2016-12-11,5505.742700000001
2016-12-12,19050.391
2016-12-13,4436.6034
2016-12-15,1115.9814
2016-12-16,1364.944
2016-12-17,6764.5727
2016-12-18,660.5905
2016-12-19,3502.4932
2016-12-20,1399.976
2016-12-21,6310.1461
2016-12-22,2578.5747
2016-12-23,8486.2121
2016-12-24,3428.0371
2016-12-25,10386.0634
2016-12-26,8804.670900000001
2016-12-27,6859.9
2016-12-28,6068.9490000000005
2016-12-29,6004.972
2016-12-30,2754.9905
2017-01-03,4037.957
2017-01-04,6349.3634999999995
2017-01-06,14241.5815
2017-01-07,4532.4559
2017-01-08,18958.1062
2017-01-09,5954.4203
2017-01-10,4466.645200000001
2017-01-11,2882.1355000000003
2017-01-12,7130.540500000001
2017-01-14,12017.0419
2017-01-16,1504.9537
2017-01-17,33399.0708
2017-01-18,24328.900799999996
2017-01-19,7339.4195
2017-01-20,17595.493
2017-01-21,11488.930199999999
2017-01-22,5463.0375
2017-01-23,1692.5720999999999
2017-01-24,5154.1467
2017-01-25,6978.715099999999
2017-01-26,17552.242499999997
2017-01-27,959.984
2017-01-28,22106.8883
2017-01-29,26993.823599999996
2017-01-31,22488.0587
2017-02-01,2787.9590000000003
2017-02-02,8028.5099
2017-02-03,4195.3079
2017-02-04,7747.739
2017-02-05,37624.0434
2017-02-06,18404.1741
2017-02-07,10504.463499999998
2017-02-08,21403.0588
2017-02-09,8134.3997
2017-02-10,5959.0657
2017-02-11,7157.353099999999
2017-02-13,25796.5561
2017-02-14,335.98400000000004
2017-02-15,31528.982399999997
2017-02-16,15685.693899999998
2017-02-18,2319.7539
2017-02-19,15959.976199999997
2017-02-20,11153.945199999998
2017-02-21,6196.644399999999
2017-02-25,4334.0585
2017-02-26,15699.9851
2017-02-27,23599.0909
2017-02-28,28367.0023
2017-03-01,3061.0305
2017-03-02,269.99100000000004
2017-03-03,6491.8231
2017-03-04,12025.2282
2017-03-05,15173.0131
2017-03-06,25762.729200000005
2017-03-07,9694.349199999999
2017-03-08,1623.0627
2017-03-09,31269.410900000003
2017-03-11,3103.3896
2017-03-12,13499.7767
2017-03-13,14861.726
2017-03-15,22787.6168
2017-03-16,3665.5192
2017-03-18,24401.201799999995
2017-03-19,7999.537799999998
2017-03-20,3489.9734000000003
2017-03-22,8109.950500000001
2017-03-23,10885.832499999999
2017-03-24,14735.4152
2017-03-26,4100.4359
2017-03-27,23432.642499999994
2017-03-28,12317.020099999998
2017-03-29,20637.9859
2017-03-30,11813.9535
2017-03-31,3699.2865
2017-04-01,20257.797000000002
2017-04-02,1754.1460000000002
2017-04-03,4123.3067
2017-04-04,9588.5378
2017-04-05,2679.9476999999997
2017-04-06,12558.4399
2017-04-07,13094.7075
2017-04-09,7664.731399999999
2017-04-11,9695.8796
2017-04-12,4890.8542
2017-04-13,9399.8334
2017-04-14,5220.4734
2017-04-15,28065.2389
2017-04-16,12520.4548
2017-04-17,14148.3766
2017-04-18,13517.4211
2017-04-19,3776.4055
2017-04-20,999.4825000000001
2017-04-21,15730.0224
2017-04-22,1079.067
2017-04-23,1044.981
2017-04-24,799.9920000000001
2017-04-25,8096.7665
2017-04-27,21962.066199999997
2017-04-28,1595.246
2017-04-29,3026.7379999999994
2017-05-01,15075.900399999999
2017-05-02,3247.2480000000005
2017-05-03,8030.954399999999
2017-05-04,9287.9439
2017-05-05,6218.401400000001
2017-05-06,1194.2817
2017-05-07,2289.667
2017-05-08,15684.573499999999
2017-05-09,10949.946799999998
2017-05-11,14611.5189
2017-05-13,23167.434699999998
2017-05-14,2795.9480000000003
2017-05-15,28710.4199
2017-05-16,1829.9557
2017-05-18,418.4907
2017-05-19,2136.531
2017-05-20,28083.841200000003
2017-05-21,11957.2278
2017-05-22,5887.3423999999995
2017-05-23,32960.6093
2017-05-24,527.2820999999999
2017-05-25,2282.965
2017-05-26,5696.1275000000005
2017-05-27,4170.2025
2017-05-28,7733.9121
2017-05-29,1367.0907
2017-05-30,16457.509899999997
2017-05-31,5459.9114
2017-06-02,7151.850700000001
2017-06-03,13588.9227
2017-06-05,32869.76359999999
2017-06-07,9267.927599999999
2017-06-09,16861.7462
2017-06-10,3157.9285
2017-06-11,31918.274199999996
2017-06-12,5467.597400000001
2017-06-13,5245.9894
2017-06-14,37586.682199999996
2017-06-15,8386.588600000001
2017-06-16,36808.86379999999
2017-06-17,22919.634000000002
2017-06-18,14124.4922
2017-06-19,13859.7499
2017-06-20,1775.9472
2017-06-21,16030.112000000001
2017-06-22,15944.2828
2017-06-23,3646.9826999999996
2017-06-24,21455.7117
2017-06-25,3228.5567
2017-06-26,40150.5755
2017-06-27,9746.696600000001
2017-06-30,7670.7773
2017-07-02,20277.9257
2017-07-04,2452.948
2017-07-06,5498.3679999999995
2017-07-07,6074.048199999999
2017-07-09,11339.232100000001
2017-07-11,4490.9833
2017-07-12,7040.5379
2017-07-13,7179.9832
2017-07-14,18905.1995
2017-07-15,15456.202099999999
2017-07-16,6068.6343
2017-07-18,5263.5057
2017-07-19,12778.8479
2017-07-20,3801.6487
2017-07-22,3765.7129
2017-07-23,45450.930799999995
2017-07-26,8492.944399999998
2017-07-27,5122.348
2017-07-29,12016.138500000001
2017-07-30,22878.9497
2017-07-31,5640.308999999999
2017-08-02,718.4000000000001
2017-08-04,19989.582499999997
2017-08-06,5687.9637
2017-08-07,9644.4976
2017-08-08,11514.1685
2017-08-09,11698.685100000002
2017-08-10,16488.2754
2017-08-11,2069.3725
2017-08-12,15550.575399999998
2017-08-13,7183.3227
2017-08-14,6530.0627
2017-08-15,21106.792799999996
2017-08-16,6316.9084
2017-08-17,27974.2497
2017-08-18,3671.0095000000006
2017-08-19,34106.422300000006
2017-08-20,8621.132699999998
2017-08-21,12321.218099999998
2017-08-22,10364.4762
2017-08-23,3127.5624
2017-08-24,6038.5735
2017-08-25,9500.782299999999
2017-08-26,16491.52
2017-08-27,5488.1253
2017-08-28,8736.708200000001
2017-08-29,6997.0919
2017-08-31,2615.976
2017-09-01,19043.0593
2017-09-02,6906.967000000001
2017-09-03,3721.2644
2017-09-04,6414.2462000000005
2017-09-05,11062.417099999999
2017-09-06,1119.2827
2017-09-07,18670.928799999998
2017-09-08,35120.5466
2017-09-10,10098.0808
2017-09-11,3920.663
2017-09-12,15205.9284
2017-09-13,21121.9198
2017-09-14,10059.5805
2017-09-15,3906.4269000000004
2017-09-17,14567.157
2017-09-18,9070.3464
2017-09-19,25104.044
2017-09-20,11432.1524
2017-09-21,22205.1763
2017-09-22,1619.991
2017-09-23,4459.2184
2017-09-24,2367.2567
2017-09-25,9717.503499999999
2017-09-27,7575.3454
2017-09-28,2664.9644
2017-09-29,7632.4462
2017-09-30,8618.3429
2017-10-01,37253.3781
2017-10-02,1063.8921
2017-10-03,1026.7014
2017-10-04,30580.523899999997
2017-10-05,20518.659399999997
2017-10-07,1590.8534
2017-10-08,3545.3022
2017-10-09,13947.544899999999
2017-10-10,170.991
2017-10-12,16889.663299999997
2017-10-13,7957.5054
2017-10-14,21604.0389
2017-10-15,19580.8384
2017-10-16,387.8007
2017-10-17,13019.9736
2017-10-19,10413.9558
2017-10-21,7526.0367
2017-10-22,507.2905
2017-10-23,7891.0111
2017-10-24,208.981
2017-10-25,4145.9533
2017-10-26,14019.072500000002
2017-10-27,12084.160899999999
2017-10-28,26723.827899999997
2017-10-30,16465.9777
2017-10-31,21204.3749
2017-11-01,279.992
2017-11-02,524.3905
2017-11-03,9908.464199999999
2017-11-04,31939.647999999997
2017-11-05,14172.0785
2017-11-06,18504.8044
2017-11-07,14605.573799999998
2017-11-08,2658.7627
2017-11-09,14908.1836
2017-11-10,6798.789999999999
2017-11-11,3638.2339
2017-11-12,2840.0460999999996
2017-11-13,4237.4469
2017-11-16,8056.398999999999
2017-11-17,29286.762399999996
2017-11-18,6403.0136999999995
2017-11-19,24125.058
2017-11-20,1019.963
2017-11-21,1763.191
2017-11-22,1845.882
2017-11-23,20056.1933
2017-11-24,8035.51
2017-11-25,3725.9481999999994
2017-11-26,16629.896500000003
2017-11-27,20253.547000000002
2017-11-28,989.991
2017-11-29,5549.981699999999
2017-11-30,8820.1505
2017-12-01,30856.1186
2017-12-02,8011.311999999999
2017-12-03,10047.424500000001
2017-12-04,28658.192700000003
2017-12-07,17809.636000000002
2017-12-08,3408.785
2017-12-09,11299.972
2017-12-10,2814.7351
2017-12-11,8028.738000000001
2017-12-14,24686.449299999997
2017-12-15,12912.9094
2017-12-16,25703.9644
2017-12-17,5315.904199999999
2017-12-20,11210.7278
2017-12-22,11864.620499999999
2017-12-24,14809.195399999999
2017-12-25,9018.2487
2017-12-26,728.9730000000001
2017-12-27,8660.0244
2017-12-28,1113.2655
2017-12-30,3824.0640000000003
2017-12-31,8722.7244
2018-01-01,20145.7835
2018-01-02,11804.9828
2018-01-04,8232.0259
2018-01-05,6701.455
2018-01-06,15027.7719
2018-01-07,24784.4064
2018-01-09,18897.1289
2018-01-10,12089.981399999999
2018-01-11,2975.9906999999994
2018-01-12,18094.2654
2018-01-13,17893.2868
2018-01-14,26555.395499999995
2018-01-15,58200.7269
2018-01-16,6024.2055
2018-01-17,2312.4447
2018-01-19,19320.8916
2018-01-20,4863.968000000001
2018-01-21,2332.965
2018-01-22,9854.7124
2018-01-23,12935.949399999998
2018-01-24,451.78200000000004
2018-01-25,31694.596299999997
2018-01-26,9173.3817
2018-01-27,12684.706400000001
2018-01-28,8840.9287
2018-01-29,8225.2311
2018-01-30,11311.1354
2018-02-01,19507.4643
2018-02-02,11251.9155
2018-02-05,4407.7294
2018-02-06,5332.9466999999995
2018-02-07,6259.265
2018-02-08,13562.498399999999
2018-02-09,8620.9467
2018-02-11,6971.553699999999
2018-02-12,9200.825499999999
2018-02-13,3807.7223999999997
2018-02-14,15933.0244
2018-02-15,20638.767200000002
2018-02-16,7575.8354
2018-02-17,2738.2497000000003
2018-02-18,1961.8652000000002
2018-02-19,14249.6462
2018-02-21,377.982
2018-02-23,5444.955999999999
2018-02-25,6657.954
2018-02-26,18544.9568
2018-02-27,17611.957000000002
2018-03-01,11688.7298
2018-03-03,15083.8019
2018-03-04,19809.068
2018-03-05,4067.2569000000003
2018-03-06,2119.259
2018-03-07,26980.8831
2018-03-08,15991.0151
2018-03-10,601.5812
2018-03-11,9146.6551
2018-03-14,20157.474899999997
2018-03-15,38249.08489999999
2018-03-16,14324.418399999999
2018-03-17,6996.5872
2018-03-18,17047.9101
2018-03-19,15170.1182
2018-03-20,22637.403499999997
2018-03-21,15700.3445
2018-03-22,6516.9312
2018-03-23,13821.530999999999
2018-03-24,8936.446
2018-03-25,1253.981
2018-03-26,13175.8969
2018-03-27,22150.899299999997
2018-03-28,12647.728199999998
2018-03-29,727.984
2018-03-30,10253.703599999999
2018-03-31,18734.300499999998
2018-04-01,35962.5151
2018-04-02,17523.847800000003
2018-04-03,21609.2606
2018-04-04,10460.0103
2018-04-05,6691.012000000001
2018-04-06,42489.114799999996
2018-04-07,1673.972
2018-04-08,47943.972499999996
2018-04-09,24516.7633
2018-04-10,41310.83799999999
2018-04-11,51293.4583
2018-04-12,51366.97129999999
2018-04-13,17232.191400000003
2018-04-14,21973.8784
2018-04-15,14161.5788
2018-04-16,58510.021000000015
2018-04-17,59948.18009999999
2018-04-18,27355.429900000003
2018-04-19,13394.685300000001
2018-04-20,26452.148899999997
2018-04-21,19735.8863
2018-04-22,24838.685899999997
2018-04-23,40227.681899999996
2018-04-24,6134.1196
2018-04-25,4988.4296
2018-04-26,39376.126800000005
2018-04-27,55129.06519999999
2018-04-28,7640.536899999999
2018-04-29,24320.860699999997
2018-04-30,3660.6177
2018-06-17,188.991
2018-07-01,8597.9467
2018-07-10,782.982
2018-07-11,949.9905
2018-07-12,1006.981
2018-08-23,2483.1500000000005
2018-08-25,5894.6647
2018-09-06,8963.9647
2018-10-21,3781.1283999999996
2018-11-18,5257.971699999999
2018-11-28,6104.0354
2018-12-28,6516.9667
